prompt,response
What does IPsec stand for?,IPsec stands for Internet Protocol Security.
What is the primary purpose of IPsec?,IPsec's primary purpose is to provide secure communication over an IP network by authenticating and encrypting each IP packet.
What are the two main IPsec protocols?,The two main IPsec protocols are Authentication Header (AH) and Encapsulating Security Payload (ESP).
What layer of the OSI model does IPsec operate at?,IPsec operates at Layer 3 (the Network Layer) of the OSI model.
What are the two modes of IPsec?,The two modes of IPsec are Transport Mode and Tunnel Mode.
What is IPsec Transport Mode used for?,"Transport Mode is used for end-to-end security between two hosts, encrypting only the payload of the IP packet."
What is IPsec Tunnel Mode used for?,"Tunnel Mode is used for network-to-network or host-to-network security, encrypting the entire original IP packet and adding a new IP header."
Which IPsec mode is commonly used for VPNs?,Tunnel Mode is commonly used for Site-to-Site VPNs.
What does AH provide?,"AH (Authentication Header) provides data integrity, data authentication, and anti-replay protection for IP packets."
Does AH provide encryption?,"No, AH does not provide encryption."
What does ESP provide?,"ESP (Encapsulating Security Payload) provides data encryption, data integrity, data authentication, and anti-replay protection."
Which IPsec protocol is more commonly used today?,ESP is more commonly used today due to its encryption capabilities.
What is a Security Association (SA) in IPsec?,A Security Association (SA) is a unidirectional logical connection that defines how two endpoints will use security services for a particular flow of traffic.
What information is contained in an SA?,"An SA contains parameters like the IPsec protocol (AH/ESP), cryptographic algorithms, keys, lifetime, and Security Parameter Index (SPI)."
What is the Security Parameter Index (SPI)?,"The SPI is a unique 32-bit identifier in the AH or ESP header that, along with the destination IP address and IPsec protocol, identifies a specific SA."
What is Internet Key Exchange (IKE)?,IKE (Internet Key Exchange) is a protocol used to establish Security Associations (SAs) and manage cryptographic keys dynamically.
What are the two phases of IKEv1?,IKEv1 has two phases: Phase 1 (Main Mode or Aggressive Mode) and Phase 2 (Quick Mode).
What is the purpose of IKE Phase 1?,"IKE Phase 1 establishes a secure, authenticated channel (the IKE SA or ISAKMP SA) to protect subsequent IKE messages."
What is the purpose of IKE Phase 2?,IKE Phase 2 (Quick Mode) negotiates the IPsec SAs that secure user data traffic.
What are the common authentication methods in IKE?,Common authentication methods in IKE are pre-shared keys (PSK) and digital certificates.
What is Diffie-Hellman (DH) used for in IKE?,Diffie-Hellman (DH) is used in IKE to securely exchange cryptographic keys over an unsecured channel.
What is Perfect Forward Secrecy (PFS)?,"PFS (Perfect Forward Secrecy) ensures that if a single key is compromised, it does not compromise any past or future session keys."
How is PFS typically achieved in IKE?,PFS is typically achieved by performing a new Diffie-Hellman key exchange for each IPsec SA (in IKE Phase 2).
What is a Transform Set (or IPsec Proposal)?,"A Transform Set (or IPsec Proposal) defines the combination of security protocols (AH/ESP), encryption algorithms, and hashing algorithms to be used for IPsec SAs."
Name common encryption algorithms used in IPsec.,"Common encryption algorithms include AES (128, 192, 256), 3DES, and DES."
Name common hashing algorithms used in IPsec.,"Common hashing algorithms include SHA-256, SHA-384, SHA-512 (SHA-2 family), and MD5."
What is the difference between IKEv1 and IKEv2?,"IKEv2 is a more robust, efficient, and streamlined protocol than IKEv1, offering better NAT traversal, mobility support, and fewer messages for SA establishment."
Which IKE version is recommended for new deployments?,IKEv2 is generally recommended for new deployments.
What is Dead Peer Detection (DPD)?,DPD (Dead Peer Detection) is a mechanism used to detect if an IPsec peer is no longer reachable or alive.
How does DPD work?,DPD works by sending periodic keepalive messages to the peer and expecting a response within a timeout period.
What is Network Address Translation-Traversal (NAT-T) in IPsec?,NAT-T allows IPsec-protected traffic to pass through NAT devices by encapsulating IPsec packets within UDP port 4500.
Why is NAT-T important for IPsec?,"NAT-T is important because traditional IPsec (AH/ESP) alters the IP header, which interferes with NAT's ability to translate addresses."
What is a Crypto ACL (or Traffic Selector/Proxy ID)?,"A Crypto ACL defines the interesting traffic"" that should be protected by the IPsec tunnel. It specifies source and destination IP addresses/subnets."""
"What does interesting traffic"" mean in IPsec?""","Interesting traffic"" refers to the specific IP traffic that the IPsec peer devices are configured to encrypt and send through the VPN tunnel."""
What is a Site-to-Site VPN?,"A Site-to-Site VPN connects two networks (e.g., branch office to headquarters) securely over an unsecured network like the internet."
What is a Remote Access VPN?,"A Remote Access VPN allows individual users (e.g., remote workers) to securely connect to a private network from a remote location."
What is a Virtual Tunnel Interface (VTI)?,"A VTI is a logical interface on a router used for route-based IPsec VPNs, where traffic is routed into the tunnel interface to be encrypted."
What is the main advantage of route-based VPNs (using VTIs) over policy-based VPNs?,Route-based VPNs offer more flexibility in routing and can support dynamic routing protocols over the tunnel.
What is a GRE over IPsec VPN?,"A GRE over IPsec VPN encapsulates GRE (Generic Routing Encapsulation) traffic within an IPsec tunnel, allowing non-IP traffic or multicast to traverse the VPN."
What are common troubleshooting steps for IPsec VPNs?,"Common troubleshooting steps include checking phase 1 and phase 2 SAs, verifying connectivity, inspecting security policies, and checking logs."
What command is used to check IKE SAs on Cisco routers?,`show crypto ikev2 sa` (for IKEv2) or `show crypto isakmp sa` (for IKEv1).
What command is used to check IPsec SAs on Cisco routers?,`show crypto ipsec sa`.
"What does crypto map"" refer to on Cisco devices?""","A crypto map is a configuration element used for policy-based IPsec VPNs, linking security policies to an interface."
What is the role of a peer in IPsec?,"A peer is the remote IPsec device (router, firewall, host) with which an IPsec tunnel is established."
"What is the concept of a crypto profile"" in IPsec?""",A crypto profile is a configuration element (often for VTI-based IPsec) that groups IPsec parameters (like transform-set) to be applied to a tunnel interface.
Can IPsec provide encryption without authentication?,"Yes, ESP can provide encryption without authentication, but it's generally not recommended for strong security."
Can IPsec provide authentication without encryption?,"Yes, AH provides authentication without encryption."
What is replay protection in IPsec?,Replay protection prevents an attacker from capturing and re-transmitting valid IPsec packets to trick the receiver.
How does IPsec's anti-replay mechanism work?,It uses a sequence number in the AH/ESP header and a sliding window on the receiver to detect and discard replayed packets.
What is the default port for IKE?,The default port for IKE is UDP port 500.
What port does NAT-T use for IPsec traffic?,NAT-T uses UDP port 4500.
What is a firewall's role with IPsec?,"A firewall can terminate IPsec VPNs, or allow IPsec traffic to pass through if necessary ports (UDP 500, UDP 4500, ESP/AH protocols) are open."
Can IPsec be used with IPv6?,"Yes, IPsec was designed to work with both IPv4 and IPv6."
What is a DPD timeout?,A DPD timeout is the period of inactivity after which an IPsec peer is considered dead and the SA is torn down.
"What is a crypto policy"" in some IPsec implementations?""","A crypto policy defines the suite of encryption, authentication, and key exchange algorithms that are acceptable for IKE Phase 1."
What is a common reason for IKE Phase 1 negotiation failure?,"Mismatched pre-shared keys, incorrect peer IP addresses, or mismatched Phase 1 parameters (encryption, hashing, DH group) are common reasons."
What is a common reason for IKE Phase 2 negotiation failure?,"Mismatched transform sets, incorrect interesting traffic definitions (proxy IDs), or mismatched PFS settings are common reasons."
Can two IPsec tunnels share the same crypto map entry?,"No, each IPsec tunnel requires a unique crypto map entry or dedicated tunnel interface configuration."
What is the purpose of an IPsec VPN tunnel interface in cloud environments?,"In cloud environments (like AWS/Azure), IPsec VPN tunnel interfaces are used to create secure connections between cloud VPCs/VNets and on-premises networks."
What is the significance of the `ip verify reverse-path` command in relation to IPsec?,It's part of Unicast Reverse Path Forwarding (uRPF) which can conflict with asymmetric routing or multi-path VPNs if not configured carefully.
What is a 'child SA' in IKEv2?,"A 'child SA' in IKEv2 is equivalent to the IPsec SA (Phase 2) in IKEv1, securing the actual data traffic."
What is the 'IKE SA' in IKEv2?,"The 'IKE SA' in IKEv2 is the secure channel established in the first exchange, equivalent to the ISAKMP SA (Phase 1) in IKEv1."
What is a 'key lifetime' in IPsec?,A key lifetime defines how long an SA and its keys remain valid before rekeying is required.
Why is rekeying important in IPsec?,"Rekeying periodically changes the encryption keys to limit the amount of data encrypted with a single key, enhancing security against cryptanalysis."
What is the difference between an IKEv2 `proposal` and an IKEv2 `profile`?,"An IKEv2 `proposal` defines acceptable cryptographic parameters (encryption, integrity, DH), while an IKEv2 `profile` binds these proposals to an interface and defines other IKEv2-specific settings (like local/remote identities)."
Can IPsec be used to secure multicast traffic?,Native IPsec (AH/ESP) does not directly support multicast. GRE over IPsec is commonly used to encapsulate multicast traffic for secure transport.
What is the role of an IPsec 'selector' or 'traffic selector'?,"It defines the IP addresses, protocols, and ports of the traffic that should be protected by a specific IPsec SA."
What are the consequences of overlapping CIDR blocks in IPsec VPNs?,"Overlapping CIDR blocks prevent IPsec tunnels from being established or cause routing conflicts, making communication impossible between the networks."
How does IPsec protect against MITM attacks?,"IPsec protects against MITM (Man-in-the-Middle) attacks primarily through strong authentication (PSK, certificates) during IKE Phase 1."
Can IPsec tunnel mode be used for host-to-host communication?,"Yes, Tunnel Mode can be used for host-to-host, but Transport Mode is typically more efficient for that specific use case."
What is the `df-bit` in relation to IPsec and fragmentation?,"The `df-bit` (Don't Fragment bit) in the IP header tells routers not to fragment the packet. IPsec encapsulation increases packet size, so packets might get dropped if the `df-bit` is set and they exceed MTU."
How does IPsec handle fragmentation?,"Ideally, IPsec should avoid fragmentation by adjusting the Maximum Segment Size (MSS) or Maximum Transmission Unit (MTU) to accommodate the overhead."
What is a common MTU for IPsec over the internet?,"A common effective MTU for IPsec over the internet is around 1380-1400 bytes, depending on the specific overhead."
What is the purpose of a crypto engine in a router?,"A crypto engine (often hardware-accelerated) offloads cryptographic computations (encryption/decryption, hashing) from the main CPU, improving performance."
What is a tunnel group in remote access VPNs?,"A tunnel group defines a set of attributes (authentication, authorization, encryption) that apply to remote access VPN users connecting to a specific group."
How are IPsec SAs established in FlexVPN?,"FlexVPN uses IKEv2 and dynamically created VTIs to establish SAs, often simplifying large-scale spoke-to-spoke communication."
What is the maximum number of IPsec SAs on a typical router?,This varies greatly by router model and memory. Enterprise-grade routers can handle thousands to tens of thousands of SAs.
Can IPsec VPNs traverse multiple NAT devices?,"Yes, with NAT-T enabled, IPsec VPNs can traverse multiple NAT devices."
What is the difference between VPN and IPsec?,VPN (Virtual Private Network) is a broader concept for creating a secure connection over a public network. IPsec is a specific suite of protocols commonly used to implement VPNs.
What is a VPN headend?,A VPN headend is the central VPN gateway or concentrator that terminates multiple VPN tunnels from remote sites or users.
What are the main security services provided by IPsec?,"Confidentiality (encryption), Integrity, Authentication, and Anti-replay protection."
What is a Site-to-Site IPsec tunnel?,A Site-to-Site IPsec tunnel securely connects two geographically separated private networks over a public network like the internet.
What is the primary goal of a Site-to-Site IPsec tunnel?,Its primary goal is to allow resources in one private network to securely communicate with resources in another private network as if they were on the same local network.
What kind of traffic does a Site-to-Site tunnel protect?,It protects traffic between specified internal subnets or hosts on both sides of the tunnel.
What are the main components required to establish a Site-to-Site IPsec tunnel?,"Two VPN gateways (routers/firewalls), IPsec configuration (IKE, IPsec policies), and routing information for remote networks."
"In Site-to-Site IPsec, what does 'interesting traffic' refer to?",'Interesting traffic' is the specific IP traffic between the two private networks that needs to be encrypted and sent through the tunnel.
What is the role of the VPN gateway in a Site-to-Site tunnel?,"The VPN gateway (e.g., router, firewall) acts as the endpoint for the IPsec tunnel, encrypting/decrypting traffic before it enters/leaves the private network."
Does Site-to-Site IPsec typically use Transport Mode or Tunnel Mode?,Site-to-Site IPsec almost exclusively uses Tunnel Mode.
Why is Tunnel Mode preferred for Site-to-Site VPNs?,"Tunnel Mode encrypts the entire original IP packet and adds a new outer IP header, making it ideal for connecting entire networks."
